week,matchup_id,team_id,team_name,opponent_id,opponent_name,team_score,opponent_score,winner,season
2,81,6,ROUX,10,ZSF,94.5,111.72,False,2024
2,81,10,ZSF,6,ROUX,111.72,94.5,True,2024
2,82,7,POO,4,sgf,81.86,107.06,False,2024
2,82,4,sgf,7,POO,107.06,81.86,True,2024
2,83,11,KIRK,12,GEMP,171.58,129.16,True,2024
2,83,12,GEMP,11,KIRK,129.16,171.58,False,2024
2,84,9,KESS,1,PATS,107.42,85.94,True,2024
2,84,1,PATS,9,KESS,85.94,107.42,False,2024
2,85,3,GV,8,MP,115.64,107.4,True,2024
2,85,8,MP,3,GV,107.4,115.64,False,2024
2,86,2,3000,6,ROUX,116.56,96.36,True,2024
2,86,6,ROUX,2,3000,96.36,116.56,False,2024
2,87,5,WOOD,7,POO,97.9,105.16,False,2024
2,87,7,POO,5,WOOD,105.16,97.9,True,2024
2,88,10,ZSF,11,KIRK,99.9,118.88,False,2024
2,88,11,KIRK,10,ZSF,118.88,99.9,True,2024
2,89,4,sgf,9,KESS,116.24,117.8,False,2024
2,89,9,KESS,4,sgf,117.8,116.24,True,2024
2,90,12,GEMP,1,PATS,141.06,86.24,True,2024
2,90,1,PATS,12,GEMP,86.24,141.06,False,2024
2,91,3,GV,5,WOOD,133.5,123.62,True,2024
2,91,5,WOOD,3,GV,123.62,133.5,False,2024
2,92,4,sgf,2,3000,137.78,126.94,True,2024
2,92,2,3000,4,sgf,126.94,137.78,False,2024
2,93,11,KIRK,9,KESS,88.56,107.54,False,2024
2,93,9,KESS,11,KIRK,107.54,88.56,True,2024
2,94,10,ZSF,6,ROUX,118.48,114.3,True,2024
2,94,6,ROUX,10,ZSF,114.3,118.48,False,2024
2,95,1,PATS,12,GEMP,97.42,108.64,False,2024
2,95,12,GEMP,1,PATS,108.64,97.42,True,2024
2,96,7,POO,8,MP,133.68,98.38,True,2024
2,96,8,MP,7,POO,98.38,133.68,False,2024
2,97,3,GV,4,sgf,142.4,126.28,True,2024
2,97,4,sgf,3,GV,126.28,142.4,False,2024
2,98,2,3000,5,WOOD,95.4,126.46,False,2024
2,98,5,WOOD,2,3000,126.46,95.4,True,2024
2,99,9,KESS,10,ZSF,118.38,88.6,True,2024
2,99,10,ZSF,9,KESS,88.6,118.38,False,2024
2,100,11,KIRK,12,GEMP,100.38,52.88,True,2024
2,100,12,GEMP,11,KIRK,52.88,100.38,False,2024
2,101,6,ROUX,7,POO,93.2,134.32,False,2024
2,101,7,POO,6,ROUX,134.32,93.2,True,2024
2,102,1,PATS,8,MP,101.08,106.12,False,2024
2,102,8,MP,1,PATS,106.12,101.08,True,2024
3,1,10,ZSF,8,MP,123.3,78.12,True,2024
3,1,8,MP,10,ZSF,78.12,123.3,False,2024
3,2,4,sgf,5,WOOD,80.86,89.36,False,2024
3,2,5,WOOD,4,sgf,89.36,80.86,True,2024
3,3,12,GEMP,2,3000,103.76,101.48,True,2024
3,3,2,3000,12,GEMP,101.48,103.76,False,2024
3,4,1,PATS,3,GV,84.06,148.32,False,2024
3,4,3,GV,1,PATS,148.32,84.06,True,2024
3,5,9,KESS,6,ROUX,120.42,110.44,True,2024
3,5,6,ROUX,9,KESS,110.44,120.42,False,2024
3,6,11,KIRK,7,POO,134.68,71.88,True,2024
3,6,7,POO,11,KIRK,71.88,134.68,False,2024
3,7,8,MP,5,WOOD,115.28,119.12,False,2024
3,7,5,WOOD,8,MP,119.12,115.28,True,2024
3,8,2,3000,10,ZSF,83.96,135.1,False,2024
3,8,10,ZSF,2,3000,135.1,83.96,True,2024
3,9,3,GV,4,sgf,104.2,116.22,False,2024
3,9,4,sgf,3,GV,116.22,104.2,True,2024
3,10,6,ROUX,12,GEMP,96.04,117.4,False,2024
3,10,12,GEMP,6,ROUX,117.4,96.04,True,2024
3,11,7,POO,1,PATS,65.44,114.44,False,2024
3,11,1,PATS,7,POO,114.44,65.44,True,2024
3,12,11,KIRK,9,KESS,108.46,111.22,False,2024
3,12,9,KESS,11,KIRK,111.22,108.46,True,2024
3,13,2,3000,8,MP,87.58,68.48,True,2024
3,13,8,MP,2,3000,68.48,87.58,False,2024
3,14,5,WOOD,3,GV,145.76,113.08,True,2024
3,14,3,GV,5,WOOD,113.08,145.76,False,2024
3,15,10,ZSF,6,ROUX,109.02,62.98,True,2024
3,15,6,ROUX,10,ZSF,62.98,109.02,False,2024
3,16,4,sgf,7,POO,132.18,68.58,True,2024
3,16,7,POO,4,sgf,68.58,132.18,False,2024
3,17,12,GEMP,11,KIRK,53.6,133.52,False,2024
3,17,11,KIRK,12,GEMP,133.52,53.6,True,2024
3,18,1,PATS,9,KESS,119.56,118.64,True,2024
3,18,9,KESS,1,PATS,118.64,119.56,False,2024
3,19,8,MP,3,GV,114.64,116.28,False,2024
3,19,3,GV,8,MP,116.28,114.64,True,2024
3,20,6,ROUX,2,3000,78.9,81.5,False,2024
3,20,2,3000,6,ROUX,81.5,78.9,True,2024
3,21,7,POO,5,WOOD,88.78,105.94,False,2024
3,21,5,WOOD,7,POO,105.94,88.78,True,2024
3,22,11,KIRK,10,ZSF,137.8,105.88,True,2024
3,22,10,ZSF,11,KIRK,105.88,137.8,False,2024
3,23,9,KESS,4,sgf,95.42,131.26,False,2024
3,23,4,sgf,9,KESS,131.26,95.42,True,2024
3,24,1,PATS,12,GEMP,90.82,107.7,False,2024
3,24,12,GEMP,1,PATS,107.7,90.82,True,2024
3,25,6,ROUX,8,MP,148.5,103.12,True,2024
3,25,8,MP,6,ROUX,103.12,148.5,False,2024
3,26,3,GV,7,POO,125.26,122.0,True,2024
3,26,7,POO,3,GV,122.0,125.26,False,2024
3,27,2,3000,11,KIRK,127.96,123.24,True,2024
3,27,11,KIRK,2,3000,123.24,127.96,False,2024
3,28,5,WOOD,9,KESS,116.28,91.76,True,2024
3,28,9,KESS,5,WOOD,91.76,116.28,False,2024
3,29,10,ZSF,1,PATS,61.16,99.42,False,2024
3,29,1,PATS,10,ZSF,99.42,61.16,True,2024
3,30,4,sgf,12,GEMP,118.58,76.44,True,2024
3,30,12,GEMP,4,sgf,76.44,118.58,False,2024
3,31,8,MP,7,POO,76.32,82.46,False,2024
3,31,7,POO,8,MP,82.46,76.32,True,2024
3,32,11,KIRK,6,ROUX,84.1,103.0,False,2024
3,32,6,ROUX,11,KIRK,103.0,84.1,True,2024
3,33,9,KESS,3,GV,126.66,86.18,True,2024
3,33,3,GV,9,KESS,86.18,126.66,False,2024
3,34,1,PATS,2,3000,99.06,98.7,True,2024
